way_id,highway,name,oneway,maxspeed_kmh,node_refs
75838318,tertiary,,no,40,895287715 895287314 3069693733 895287503 895286915 895287124 895287231 3069693732 895287421 895287692 11196283698 10794426350 3069693731 895287478 895287667 895287099 895287289 895287396 895287586 895287000 3069693730 895287206 895287162 3069693729 895287352 3069693728 895287624 895286956 895287079 895287269 3069693727 895287541 895287729 895287329 895286931 895287245 895287435 895287046 895287493 895287682 895287304 895287601 895287221 895287657 895286990 895287279 895287468 895287575 895287196 895287530 895286945 895287151 895287259 895287718 895287068 895287695 895287317 895287424 895287613 895287028 895287234 895287670 13043191402 3069693726 13043191409 895287003 13043191408 895287292 895287481 895287589 10794426154 895287209 10794426162 3069693725 895287399 3069693724 895286980 895287186
87741470,residential,,yes,25,1020210094 10268085414 2495239661 2434846931 296047717 10268085416
107565328,tertiary,улица Жексенбаева,no,40,6208654520 1236057210
107591785,service,,no,15,1236308964 1236308980 1236308958 1236308976 1236308961 1236308979 1236308967
107591786,service,,no,15,1236308951 9048763657 4615612568
107591791,service,,no,15,1236308984 1236308983 1236308951 3685339922 3740386641 1236308971 1236308977 3685340643 1236308944 4353166157 2168881087 6063217962 6063217961 2168881085 3698623710 6063217964
107591792,service,,no,15,1236308978 1236308960
107591797,service,,no,15,1236308959 1236308981
107834500,residential,,no,25,1236057205 10940002235 2493184689 9052465926 2387696453
112933619,secondary,,no,50,1411866890 10572447588 1282397224 1282397192 10572447786 12985475515 1282397220 9603001977 9603001978 1282397188 9603001979 9603001980 1282397229 9603001981 1282397203 1282397171 9603001976 9603001975 9603001974
112933699,tertiary,улица Школьная,no,40,1282397928 11420658476 12762061824 12759492022 12270059450 12738354088 12738354087 12738354086 12738354085 1282397914
112933701,unclassified,,no,30,2409555091 12738427942 12738427943 12738427944 12759583668 12738427945 12738427946 1282397944
112933702,unclassified,,no,30,2409555048 12738427897 12738427898 12738427899 12738427900 12738427901 2409555068
122787566,residential,Қызылқұм көшесі,no,25,294983388 1371087739 1371087745 11849674161 9264475674
124544573,trunk_link,,yes,50,457344018 457344034 457344037
124544574,trunk_link,,yes,50,457344037 457344069 457344072 457344077 457344085
124592855,trunk,,no,90,457343269 13585286811 457343272
124724297,trunk,,no,90,1843909164 457343269
124982795,trunk,,yes,90,457344004 4306250856 3685339904 3685339905 11188299154 2386222577 2386222576 457344258 4306250862 7599505078 457349762 2482308702 3909110465 10242261140 11000780143 11182678846 7599504296 2482308706 457349769 11188333750 7599494565 457344276 11188333889 3913500612 6328744487 1826309451 3909110468 457349815 2482308711 457344295 4306263072 4306263070 11183192713 11716287916 457344334 11183192714 457344339 13686701489 13733668413 3913500623 13686701488 10106386072 9348933753 11633747098 9348933752 10055358768 10106386082
125591264,trunk,Райымбек даңғылы,yes,90,260570310 1955222986 11072054205 2821520037 11072054230 12235159965 243884102
152087523,primary,улица Грозы,yes,70,297129238 12920707792 6649203721 3056765581 12097486608 12097486624 13622813141 13622813137 13622813136 11462822444
152087525,primary,Жандосов көшесі,yes,70,292233375 12134015025 10690784162 10821751172 297129226 297129238
